,cod_tse,cod_ibge,nome_mun,uf,estado,12,13,14,15,16,21,22,27,30,44,80,status
3529,64513,3517505,GUAPIAÇU,SP,SÃO PAULO,"1,77","34,64","0,06","4,47","00,00","0,07","58,04","0,01","0,30","0,62","0,03",4
3530,64530,3517604,GUAPIARA,SP,SÃO PAULO,"1,53","55,67","0,08","3,22","0,02","0,04","38,96","00,00","0,14","0,34","0,02",1
3531,64556,3517703,GUARÁ,SP,SÃO PAULO,"1,77","49,69","0,05","3,86","0,02","00,00","43,86","0,01","0,36","0,35","0,04",2
3532,64572,3517802,GUARAÇAÍ,SP,SÃO PAULO,"1,29","34,54","0,02","4,08","00,00","00,00","59,65","00,00","0,27","0,15","00,00",4
3533,64599,3517901,GUARACI,SP,SÃO PAULO,"1,56","50,15","0,05","3,94","00,00","0,03","43,52","0,03","0,24","0,47","00,00",1
3534,64610,3518008,GUARANI D&apos;OESTE,SP,SÃO PAULO,"1,85","50,96","00,00","5,09","00,00","00,00","41,71","00,00","0,23","0,15","00,00",1
3535,64637,3518107,GUARANTÃ,SP,SÃO PAULO,"1,73","38,06","00,00","2,94","0,03","0,03","56,78","00,00","0,30","0,14","00,00",4
3536,64653,3518206,GUARARAPES,SP,SÃO PAULO,"1,70","30,81","0,06","5,00","0,01","0,03","61,61","00,00","0,45","0,33","0,01",4
3537,64670,3518305,GUARAREMA,SP,SÃO PAULO,"2,41","33,74","0,03","5,58","0,01","0,09","57,06","0,01","0,54","0,48","0,06",4
3538,64696,3518404,GUARATINGUETÁ,SP,SÃO PAULO,"2,69","30,90","0,06","7,16","0,02","0,04","57,88","0,02","0,56","0,60","0,06",4
3539,64718,3518503,GUAREÍ,SP,SÃO PAULO,"2,11","33,89","0,04","4,75","0,01","0,04","58,63","00,00","0,16","0,35","0,01",4
3540,64734,3518602,GUARIBA,SP,SÃO PAULO,"2,15","43,78","0,05","4,74","0,03","0,03","48,42","0,00","0,39","0,38","0,03",3
3541,64750,3518701,GUARUJÁ,SP,SÃO PAULO,"3,16","40,68","0,08","5,53","0,02","0,05","49,28","0,01","0,54","0,59","0,07",3
3542,64777,3518800,GUARULHOS,SP,SÃO PAULO,"4,26","42,79","0,07","5,95","0,03","0,06","45,46","0,03","0,61","0,64","0,10",3
3543,64793,3518909,GUZOLÂNDIA,SP,SÃO PAULO,"1,70","49,05","00,00","4,89","0,04","00,00","43,83","00,00","0,19","0,30","00,00",2
3544,64815,3519006,HERCULÂNDIA,SP,SÃO PAULO,"1,55","38,56","0,10","3,13","00,00","0,02","56,21","00,00","0,08","0,36","00,00",4
3545,64831,3519105,IACANGA,SP,SÃO PAULO,"1,68","32,57","0,02","3,88","00,00","0,02","61,22","0,02","0,39","0,19","0,03",4
3546,64858,3519204,IACRI,SP,SÃO PAULO,"1,20","32,31","0,08","3,65","00,00","00,00","62,15","0,03","0,32","0,27","00,00",4
3547,64874,3519303,IBATÉ,SP,SÃO PAULO,"2,62","44,76","0,10","5,38","0,03","0,06","45,90","0,02","0,41","0,68","0,04",3
3548,64890,3519402,IBIRÁ,SP,SÃO PAULO,"1,30","30,58","0,10","3,57","00,00","00,00","63,61","0,01","0,45","0,35","0,03",4
3549,64912,3519501,IBIRAREMA,SP,SÃO PAULO,"2,03","29,41","0,03","3,19","00,00","0,08","64,51","0,03","0,23","0,46","0,03",4
3550,64939,3519600,IBITINGA,SP,SÃO PAULO,"1,99","33,15","0,04","4,09","0,01","0,01","59,77","0,03","0,38","0,51","0,02",4
3551,64955,3519709,IBIÚNA,SP,SÃO PAULO,"3,32","30,75","0,10","7,01","0,03","0,06","57,52","0,02","0,39","0,77","0,03",4
3552,64971,3519808,ICÉM,SP,SÃO PAULO,"1,88","45,75","0,04","4,33","00,00","0,11","47,32","0,04","0,30","0,23","00,00",3
3553,64998,3519907,IEPÊ,SP,SÃO PAULO,"1,81","38,30","0,04","3,51","0,02","0,04","55,51","00,00","0,31","0,46","00,00",4
3554,65013,3520004,IGARAÇU DO TIETÊ,SP,SÃO PAULO,"2,15","39,47","0,11","4,56","0,01","0,04","52,55","0,01","0,34","0,71","0,04",4
3555,65030,3520103,IGARAPAVA,SP,SÃO PAULO,"1,79","47,71","0,01","5,86","0,01","0,04","43,86","00,00","0,36","0,35","0,02",2
3556,65056,3520202,IGARATÁ,SP,SÃO PAULO,"2,87","34,63","0,06","6,87","00,00","0,03","54,67","00,00","0,31","0,43","0,12",4
3557,65072,3520301,IGUAPE,SP,SÃO PAULO,"2,19","38,86","0,05","4,45","0,03","0,05","53,37","0,01","0,27","0,68","0,05",4
3558,65099,3520400,ILHABELA,SP,SÃO PAULO,"3,38","39,77","0,04","5,37","0,03","0,05","50,31","0,02","0,51","0,50","0,03",4
3559,65110,3520509,INDAIATUBA,SP,SÃO PAULO,"3,53","32,21","0,04","6,55","0,03","0,06","56,20","0,01","0,80","0,48","0,08",4
3560,65137,3520608,INDIANA,SP,SÃO PAULO,"1,16","34,78","0,06","3,68","00,00","0,03","58,86","00,00","0,50","0,88","0,03",4
3561,65153,3520707,INDIAPORÃ,SP,SÃO PAULO,"1,25","47,66","00,00","4,72","00,00","00,00","45,91","0,08","0,17","0,21","00,00",2
3562,65170,3520806,INÚBIA PAULISTA,SP,SÃO PAULO,"1,17","25,27","0,04","3,65","00,00","0,04","69,40","00,00","0,17","0,25","00,00",4
3563,65196,3520905,IPAUSSU,SP,SÃO PAULO,"2,92","35,49","0,09","4,39","0,01","0,05","56,23","0,01","0,29","0,46","0,05",4
3564,65218,3521002,IPERÓ,SP,SÃO PAULO,"2,24","45,12","0,04","5,58","0,02","0,11","46,06","0,05","0,27","0,46","0,05",3
3565,65234,3521101,IPEÚNA,SP,SÃO PAULO,"1,88","28,65","0,02","3,89","00,00","0,05","64,74","00,00","0,29","0,45","0,02",4
3566,65250,3521200,IPORANGA,SP,SÃO PAULO,"1,38","55,27","0,09","3,93","00,00","0,04","36,86","0,04","0,04","2,33","00,00",1
3567,65277,3521309,IPUÃ,SP,SÃO PAULO,"1,32","53,10","0,01","3,54","0,01","0,01","41,70","00,00","0,13","0,18","00,00",1
3568,65293,3521408,IRACEMÁPOLIS,SP,SÃO PAULO,"2,16","29,56","0,05","3,46","0,01","0,01","63,83","0,03","0,46","0,41","0,02",4
3569,65315,3521507,IRAPUÃ,SP,SÃO PAULO,"0,88","28,80","0,08","1,88","00,00","00,00","68,01","00,00","0,15","0,18","0,03",4
3570,65331,3521606,IRAPURU,SP,SÃO PAULO,"2,09","37,87","00,00","3,90","00,00","0,06","55,52","00,00","0,28","0,28","00,00",4
3571,65358,3521705,ITABERÁ,SP,SÃO PAULO,"1,92","45,62","0,03","3,40","00,00","0,01","48,58","0,01","0,16","0,27","00,00",3
3572,65374,3521804,ITAÍ,SP,SÃO PAULO,"2,20","49,21","0,05","4,69","0,03","0,02","43,22","00,00","0,29","0,29","0,02",2
3573,65390,3521903,ITAJOBI,SP,SÃO PAULO,"1,37","24,58","0,07","3,37","0,01","0,03","69,77","00,00","0,21","0,55","0,03",4
3574,65412,3522000,ITAJU,SP,SÃO PAULO,"1,42","35,39","00,00","4,03","0,04","0,04","58,41","0,04","0,27","0,31","0,04",4
3575,65439,3522109,ITANHAÉM,SP,SÃO PAULO,"2,78","41,91","0,07","5,56","0,03","0,06","48,48","0,03","0,37","0,67","0,05",3
3576,65455,3522208,ITAPECERICA DA SERRA,SP,SÃO PAULO,"3,84","53,84","0,05","5,60","0,03","0,05","35,08","0,02","0,47","0,94","0,07",1
3577,65471,3522307,ITAPETININGA,SP,SÃO PAULO,"2,60","30,04","0,08","6,01","0,01","0,06","60,15","0,01","0,46","0,54","0,04",4
3578,65498,3522406,ITAPEVA,SP,SÃO PAULO,"2,39","35,13","0,08","4,86","0,01","0,03","56,48","0,01","0,41","0,57","0,03",4
3579,65510,3522505,ITAPEVI,SP,SÃO PAULO,"3,63","53,24","0,06","5,60","0,03","0,04","36,19","0,02","0,45","0,65","0,08",1
3580,65536,3522604,ITAPIRA,SP,SÃO PAULO,"2,71","29,84","0,04","5,74","0,02","0,06","60,41","0,00","0,56","0,58","0,04",4
3581,65552,3522703,ITÁPOLIS,SP,SÃO PAULO,"2,02","28,90","0,04","3,92","0,00","0,06","64,31","0,01","0,30","0,39","0,05",4
3582,65579,3522802,ITAPORANGA,SP,SÃO PAULO,"1,62","39,84","0,06","4,80","00,00","0,02","52,94","0,01","0,26","0,43","0,01",4
3583,65595,3522901,ITAPUÍ,SP,SÃO PAULO,"2,65","39,26","0,11","4,19","00,00","0,01","52,93","0,03","0,31","0,47","0,05",4
3584,65617,3523008,ITAPURA,SP,SÃO PAULO,"1,68","68,65","0,12","5,70","0,08","00,00","23,49","00,00","0,16","0,08","0,04",1
3585,65633,3523107,ITAQUAQUECETUBA,SP,SÃO PAULO,"3,73","50,52","0,07","5,00","0,03","0,04","39,26","0,03","0,41","0,83","0,09",1
3586,65650,3523206,ITARARÉ,SP,SÃO PAULO,"2,65","34,53","0,08","5,97","0,00","0,06","55,66","0,03","0,41","0,60","0,02",4
3587,65676,3523305,ITARIRI,SP,SÃO PAULO,"2,03","36,39","0,05","4,25","0,05","0,05","56,42","0,03","0,20","0,54","0,02",4
3588,65692,3523404,ITATIBA,SP,SÃO PAULO,"3,60","30,03","0,07","6,55","0,01","0,05","58,10","0,02","0,89","0,61","0,07",4
3589,65714,3523503,ITATINGA,SP,SÃO PAULO,"2,69","39,11","0,07","4,24","0,04","0,05","52,85","0,03","0,34","0,56","0,02",4
3590,65730,3523602,ITIRAPINA,SP,SÃO PAULO,"1,78","39,61","0,04","4,19","0,01","0,07","53,44","0,01","0,39","0,43","0,04",4
3591,65757,3523701,ITIRAPUÃ,SP,SÃO PAULO,"1,69","52,09","00,00","3,66","0,03","0,03","41,98","00,00","0,14","0,38","00,00",1
3592,65773,3523800,ITOBI,SP,SÃO PAULO,"1,66","43,50","0,02","4,35","00,00","0,04","49,53","00,00","0,26","0,62","0,02",3
3593,65790,3523909,ITU,SP,SÃO PAULO,"3,23","32,67","0,07","5,88","0,01","0,06","56,68","0,01","0,77","0,54","0,08",4
3594,65811,3524006,ITUPEVA,SP,SÃO PAULO,"3,09","34,04","0,04","5,50","0,01","0,02","56,19","0,01","0,62","0,41","0,05",4
3595,65838,3524105,ITUVERAVA,SP,SÃO PAULO,"1,80","38,11","0,04","4,42","0,02","0,02","54,65","0,01","0,49","0,39","0,04",4
3596,65854,3524204,JABORANDI,SP,SÃO PAULO,"1,53","47,17","0,05","2,49","00,00","0,03","48,28","00,00","0,18","0,23","0,05",3
3597,65870,3524303,JABOTICABAL,SP,SÃO PAULO,"3,11","32,72","0,07","5,97","0,02","0,04","57,19","0,01","0,46","0,37","0,03",4
3598,65897,3524402,JACAREÍ,SP,SÃO PAULO,"3,26","33,63","0,05","7,22","0,09","0,06","54,23","0,03","0,81","0,56","0,08",4
3599,65919,3524501,JACI,SP,SÃO PAULO,"2,35","38,21","0,02","4,81","00,00","0,05","53,84","0,02","0,47","0,23","00,00",4
